title,description,time,what,when,who,provinsi,kabupaten / kota,kecamatan,mati,luka,kerugianBarang,kerugianUang,pemerkosaan,klasifikasi
Nenek di Pamekasan Tewas Dirampok Saat Pulang dari Rumah Majikan,"\-

Seorang nenek bernama Sura (62) warga Dusun Biris Daya, Desa Tambung,
Pademawu, Pamekasan ditemukan tewas di dekat tumpukan kayu dekat rumahnya.
Nenek ini diduga tewas menjadi korban perampokan.

Nenek Sura ditemukan warga di dekat tumpukan kayu di dekat rumahnya. Nenek
Sura ditemukan dengan luka di pelipis kanan dan terdapat benjolan di belakang
kepala.

Kabag Humas Polres Pamekasan Nining Diyah mengatakan kejadian pencurian dengan
kekerasan itu diduga terjadi Jumat pagi pukul 04.15 WIB.

Saat itu korban hendak pulang dari rumah Juhairiyah majikannya yang juga masih
tetangganya. Nenek Sura perjalanan pulang dengan berjalan kaki. Setibanya di
tempat pemotongan kayu, korban dirampok orang tidak dikenal. Perhiasan emas
yang dikenakan korban raib dirampas pelaku.

""Awalnya diketahui saksi bernama Amam tetangganya yang mendengar teriakan.
Saat dilihat dari jendela rumahnya rupanya korban sudah tergeletak di sela-
sela tumpukan kayu,"" kata Nining kepada , Jumat (15/07/22)

Nenek Sura sempat digotong ke ke sebuah gardu yang tidak jauh dari TKP.
Awalnya korban tidak sadarkan diri. Tapi berselang beberapa menit Nenek Sura
akhirnya meninggal.

Dalam kesehariannya Nenek Sura memang kerap mengenakan perhiasan emas. Saat
kejadian itu ia memakai kalung dan 3 buah cincin emas.

Perhiasan itu dirampok secara paksa dengan kekerasan. Bibir korban pecah-pecah
diduga dipukuli pelaku. Polisi menaksir nilai perhiasan milik korban yang
dirampok mencapai Rp 10 juta rupiah.

  
  
  
[Gambas:Video 20detik]  

__ 0 komentar

BAGIKAN  __ __ __ __ __ URL telah disalin

Berita Terkait

###  CCTV Kasus Brigadir J Ditemukan di Dekat Rumah Ferdy Sambo

###  Pengakuan Pengamen yang Viral Gebrak Mobil di Malang: Saya Mabuk

###  Profil Kapolres Jaksel yang Dinonaktifkan Terkait Brigadir Yoshua

###  Pengamen yang Viral Gebrak Mobil di Malang Tertangkap

###  Konser Langit Ustaz Hanan Attaki Ditolak di Jember

###  Penjelasan Empty Sella Syndrome, Penyakit yang Diidap Ruben Onsu

###  Eri Abaikan Survei Pilgub Jatim Versi ARCI, Pilih Fokus ke Warga Surabaya

###  Ganggu Habitat Sungai, Arapaima yang Pernah Geger di Jatim Dimusnahkan

Berita detikcom Lainnya

![Anak Cristiano Ronaldo Pakai Jersey Real Madrid, Kode
nih?](https://akcdn.detik.net.id/community/media/visual/2022/01/15/cristiano-
ronaldo-2_169.jpeg?w=200&q=90)

Sepakbola

Anak Cristiano Ronaldo Pakai Jersey Real Madrid, Kode nih?

![BKN Ungkap Survei: 30% PNS Nggak Ngapa-ngapain Saat
WFH](https://akcdn.detik.net.id/community/media/visual/2022/05/26/pelaksana-
tugas-plt-kepala-badan-kepegawaian-negara-bkn-bima-haria-
wibisana-1_169.jpeg?w=200&q=90)

detikFinance

BKN Ungkap Survei: 30% PNS Nggak Ngapa-ngapain Saat WFH

![Kapolda Metro Tunjuk Kombes Yandri Irsan Plt Kapolres
Jaksel](https://akcdn.detik.net.id/community/media/visual/2022/06/12/kabid-
humas-polda-metro-jaya-kombes-e-zulpan-1_169.jpeg?w=200&q=90)

detikNews

Kapolda Metro Tunjuk Kombes Yandri Irsan Plt Kapolres Jaksel

![Microsoft Teams Tumbang, Ribuan Pengguna
Terimbas](https://akcdn.detik.net.id/community/media/visual/2017/04/11/1bba0a41-dca2-4301-8185-0224543a6fd0_169.jpg?w=200&q=90)

detikInet

Microsoft Teams Tumbang, Ribuan Pengguna Terimbas

![Dialami Ruben Onsu, Ini Faktor Risiko Empty Sella Syndrom yang Wajib
Diketahui](https://akcdn.detik.net.id/community/media/visual/2019/08/02/a6bb1208-c999-46bc-9127-74cf83b68431_169.jpeg?w=200&q=90)

detikHealth

Dialami Ruben Onsu, Ini Faktor Risiko Empty Sella Syndrom yang Wajib Diketahui

![Hasil Taipei Open 2022: Komang Ayu Kandas, Wakil Indonesia
Habis](https://akcdn.detik.net.id/community/media/visual/2022/05/10/komang-
ayu-cahya-dewi_169.jpeg?w=200&q=90)

detikSport

Hasil Taipei Open 2022: Komang Ayu Kandas, Wakil Indonesia Habis

![Inovatif! Kemasan Minuman Ini Bisa Sekaligus Jadi Tempat
Camilan](https://akcdn.detik.net.id/community/media/visual/2022/07/21/kemasan-
minuman-praktis_169.jpeg?w=200&q=90)

detikFood

Inovatif! Kemasan Minuman Ini Bisa Sekaligus Jadi Tempat Camilan

![Wajah Baru Lucinta Luna Setelah Operasi Potong Leher, Jadi
Begini](https://akcdn.detik.net.id/community/media/visual/2022/07/08/lucinta-
luna-1_169.png?w=200&q=90)

Wolipop

Wajah Baru Lucinta Luna Setelah Operasi Potong Leher, Jadi Begini

![Logo detikcom](https://cdn.detik.net.id/detikcom/images/logo-detik.png)

part of ![img-
alt](https://cdn.detik.net.id/assets/images/logo_detiknetwork.png?v=202207211677)

Connect With Us

__ __ __ __ __

Copyright @ 2022 detikcom.  
All right reserved

Kategori

   News 
   Edukasi 
   Finance 
   Teknologi 
   Entertaiment 
   Sport 
   Sepakbola 
   Otomotif 
   Travel 
   Food 
   Health 
   Wolipop 
   DetikX 
   20Detik 
   Foto 

Layanan

   berbuatbaik.id 
   Pasang Mata 
   Adsmart 
   Forum 
   detikEvent 
   Trans Snow World 
   Trans Studio 

Informasi

   Redaksi 
   Pedoman Media Siber 
   Karir 
   Kotak Pos 
   Media Partner 
   Info Iklan 
   Privacy Policy 
   Disclaimer 

Jaringan Media

   CNN Indonesia 
   CNBC Indonesia 
   Haibunda 
   Insertlive 
   Beautynesia 
   Female Daily 
   CXO Media 

![](https://pubads.g.doubleclick.net/activity;dc_iu=/4905536/DFPAudiencePixel;ord=1;dc_seg=1010791389;gen=Male?)
![](https://pubads.g.doubleclick.net/activity;dc_iu=/4905536/DFPAudiencePixel;ord=1;dc_seg=1009875724;gen=Female?)
![](https://b.scorecardresearch.com/p?c1=2&c2=8443234&cv=2.0&cj=1)

 ","Jumat, 15 Jul 2022 15:37 WIB","['pelaku', 'korban', 'rumah', 'kali', 'polres', 'raba', 'bima', 'warga', '1', 'kekerasan', 'kalung', 'perampokan', 'kombes', 'dirampas', 'pencurian', 'ormas', 'perampok']",15/07/2022,['sura'],jawa timur,malang,-,1,1,1,0,0,Tinggi
"Pencurian HP di Kafe Terekam CCTV, Pelakunya Perempuan","\-

Aksi pencurian handphone atau HP di salah satu kafe di Jalan Gatot Subroto,
Kecamatan Medan Petisah, Kota Medan terekam kamera CCTV. Pelakunya adalah
seorang perempuan berambut pendek dan mengenakan baju putih.

Dilihat detikSumut dari rekaman CCTV yang tersebar, Jumat (15/7/2022),
terlihat pelaku datang dan langsung berdiri dekat meja kasir. Perempuan itu
sempat berbicara dengan kasir sembari tangannya meraih ponsel yang sedang
dicas di meja itu.

Asri Ananda selaku kasir yang saat itu bertugas mengatakan kejadian terjadi
pada Kamis (14/7/2022) sekitar pukul 13.00 WIB. Dia menjelaskan saat itu
dirinya dan rekan lainnya sedang melayani pembeli kopi.

  

""Jadi ibu itu datang dan tiba-tiba mengajak ngobrol rekan saya. Tapi karena
dihalangi kaca, kami tidak menanggapi kali,"" ucapnya.

Dia mengungkapkan sempat curiga saat temannya diajak bercakap-cakap oleh
wanita tersebut. Bahkan ia dan kawannya sempat bingung. Sebab, tidak terlalu
jelas pula apa yang dikatakan wanita itu.

""Setelah dia pergi, sempat kami bicarakan apa yang diambil wanita itu. Ya
teman saya bilang mungkin hand sanitizer,"" katanya.

Lantas, pihaknya langsung mengecek lokasi tempat wanita tersebut berdiri.
Rupanya ada charger dan kabel yang tertinggal. Mereka baru sadar ada HP yang
dicuri. HP itu milik tukang parkir yang menumpang mengisi daya di kafe itu.

""Karena kami kaget juga, langsung lah diberitahu tukang parkirnya. Setelah
itu, dikejar lah. Sayangnya terhenti di lampu merah dan kata warga wanita itu
sudah melarikan diri pakai angkot,"" tutupnya.

  
  
  
[Gambas:Video 20detik]  

__ 0 komentar

BAGIKAN  __ __ __ __ __ URL telah disalin

Berita Terkait

###  Pria Diduga Bandar Narkoba di Pajak Palapa Medan Ditangkap

###  Eks Pejabat Pemkot Medan Tersangka Korupsi Proyek Jembatan Sicanang

###  Polisi Buru Pelaku yang Balikkan Mobil di Deli Serdang

###  Karyawan Supermarket di Kisaran Gelapkan Dagangan Senilai Rp 15 Juta

###  Puluhan Warga Palas Demo di DPRD Sumut Soal Konflik Tanah

###  Maling Spesialis Kos-kosan di Jakal Sleman Dibekuk!

###  48.737 Pelaku UMKM di Sumut Sudah Punya NIB, Tertinggi se-Sumatera

###  Duh! Disel Molen Proyek Irigasi di Klaten Digondol Maling

Berita detikcom Lainnya

![Inovatif! Kemasan Minuman Ini Bisa Sekaligus Jadi Tempat
Camilan](https://akcdn.detik.net.id/community/media/visual/2022/07/21/kemasan-
minuman-praktis_169.jpeg?w=200&q=90)

detikFood

Inovatif! Kemasan Minuman Ini Bisa Sekaligus Jadi Tempat Camilan

![Performa Jomplang Quartararo dan Morbidelli di Paruh Pertama
MotoGP](https://akcdn.detik.net.id/community/media/visual/2022/03/18/fabio-
quartararo-motogp-mandalika-motogp-indonesia-sirkuit-mandalika-pertamina-
grand-prix-of-indonesia-pertamina-mandalika-int_169.jpeg?w=200&q=90)

detikSport

Performa Jomplang Quartararo dan Morbidelli di Paruh Pertama MotoGP

![Jokowi Buka Suara soal Tarif Masuk TN Komodo Rp 3,75
Juta](https://akcdn.detik.net.id/community/media/visual/2022/07/21/presiden-
jokowi-di-bandara-komodo-labuan-bajo-ntt-lukas-biro-pers-sekretariat-
presiden_169.jpeg?w=200&q=90)

detikTravel

Jokowi Buka Suara soal Tarif Masuk TN Komodo Rp 3,75 Juta

![Bocoran Mobil Baru Wuling yang Debut Global di GIIAS
2022](https://akcdn.detik.net.id/community/media/visual/2022/07/11/mobil-
listrik-wuling-air-ev-sudah-bisa-dipesan-1_169.jpeg?w=200&q=90)

detikOto

Bocoran Mobil Baru Wuling yang Debut Global di GIIAS 2022

![Banyak Pelanggan Kabur, Ini Kata Bos
Netflix](https://akcdn.detik.net.id/community/media/visual/2016/01/27/18046ac7-f884-4b48-9fb5-7408014ecad7_169.jpg?w=200&q=90)

detikInet

Banyak Pelanggan Kabur, Ini Kata Bos Netflix

![Momen Andre Taulany Tenangkan Rekan Kerja yang Dimarahi
Sule](https://akcdn.detik.net.id/community/media/visual/2022/07/20/galeri-
andre-taulany-9_169.jpeg?w=200&q=90)

detikHot

Momen Andre Taulany Tenangkan Rekan Kerja yang Dimarahi Sule

![Daftar Harga Tanah di Jabodetabek, dari Tertinggi hingga
Terendah](https://akcdn.detik.net.id/community/media/visual/2019/04/23/367fbef7-44ff-4019-97f3-20092da732cf_169.jpeg?w=200&q=90)

detikFinance

Daftar Harga Tanah di Jabodetabek, dari Tertinggi hingga Terendah

![Bikin Tercengang, Jam Tangan Amanda Manopo Ini Ternyata Seharga
Rumah](https://akcdn.detik.net.id/community/media/visual/2022/04/29/10-keseruan-
amanda-manopo-saat-kulineran-ada-momen-gendong-kerupuk-9_169.png?w=200&q=90)

Wolipop

Bikin Tercengang, Jam Tangan Amanda Manopo Ini Ternyata Seharga Rumah

![Logo detikcom](https://cdn.detik.net.id/detikcom/images/logo-detik.png)

part of ![img-
alt](https://cdn.detik.net.id/assets/images/logo_detiknetwork.png?v=202207211677)

Connect With Us

__ __ __ __ __

Copyright @ 2022 detikcom.  
All right reserved

Kategori

   News 
   Edukasi 
   Finance 
   Teknologi 
   Entertaiment 
   Sport 
   Sepakbola 
   Otomotif 
   Travel 
   Food 
   Health 
   Wolipop 
   DetikX 
   20Detik 
   Foto 

Layanan

   berbuatbaik.id 
   Pasang Mata 
   Adsmart 
   Forum 
   detikEvent 
   Trans Snow World 
   Trans Studio 

Informasi

   Redaksi 
   Pedoman Media Siber 
   Karir 
   Kotak Pos 
   Media Partner 
   Info Iklan 
   Privacy Policy 
   Disclaimer 

Jaringan Media

   CNN Indonesia 
   CNBC Indonesia 
   Haibunda 
   Insertlive 
   Beautynesia 
   Female Daily 
   CXO Media 

![](https://pubads.g.doubleclick.net/activity;dc_iu=/4905536/DFPAudiencePixel;ord=1;dc_seg=1010791389;gen=Male?)
![](https://pubads.g.doubleclick.net/activity;dc_iu=/4905536/DFPAudiencePixel;ord=1;dc_seg=1009875724;gen=Female?)
![](https://b.scorecardresearch.com/p?c1=2&c2=8443234&cv=2.0&cj=1)

 ","Jumat, 15 Jul 2022 16:15 WIB","['pelaku', 'mobil', 'kali', 'langsung', 'warga', 'perempuan', '1', 'curiga', 'arakan', 'pencurian', 'gang', 'ormas']",14/07/2022,"['asri ananda', 'jokowi']",sumatera utara,medan,-,0,0,1,0,0,Rendah
Pembunuh Pria yang Ditemukan Tewas di Musala Sidoarjo Ditangkap,"\-

Pembunuh pria yang ditemukan tewas di musala di Desa Ngares Rejo, Sukodono,
Sidoarjo, tertangkap. Pelaku membunuh karena ingin menguasai harta korban.
Pelaku adalah Yoga Wicaksono (29), warga Panggul Trenggalek.

""Pelaku ini sudah berniat mencari mangsa. Dia berjalan kaki dari Bungurasih
sampai Sukodono. Tujuannya mencari orang lengah dan bermaksud mengambil barang
berharga korban,"" kata Kapolresta Sidoarjo Kusumo Wahyu Bintoro, Jumat
(15/7/2022).

Hingga kemudian pelaku sampai di Musala Muhajirin di Ngares Rejo, Sukodono.
Saat itu pelaku melihat korban, WA Saputro, yang sedang tidur di teras musala.
Di dekat korban terparkir motor matik milik korban, Honda PCX warna merah
maroon.

""Pelaku datang menghampiri korban. Pelaku langsung menusuk korban sebanyak
empat kali pada dada korban menggunakan sebilah pisau. Mengetahui korban tak
berdaya dan bersimbah darah. Pelaku mengambil motor matik, satu handphone
serta dompet korban berisi identitas diri, STNK motor, dan kartu ATM,"" jelas
Kusumo.

Setelah mendapatkan barang berharga korban, pelaku langsung kabur. Polisi pun
bergerak cepat untuk mengungkap kasus ini. Berbekal keterangan saksi di
sekitar lokasi kejadian dan kerjasama polres jajaran. Diketahui pelaku membawa
lari motor matik korban masuk ke wilayah Trenggalek.

""Dari informasi yang masuk ke kami, segera tim resmob Polresta Sidoarjo
bersama Polres Trenggalek melakukan pengejaran pelaku. Hingga berhasil kami
tangkap pukul 8 malam di Desa Nglebeng, Panggul, Trenggalek,"" terang Kusumo.

Saat penangkapan, pelaku sempat berupaya kabur dan mengancam keselamatan
petugas dengan menggunakan senjata tajam. Sehingga polisi melakukan tindakan
tegas dan terukur.

""Pelaku diberitakan tindakan tegas dan terukur di kaki sebelah kanan,"" ujar
Kusumo.

""Pelaku dijerat pasal 338 KUHP hukuman penjara paling lama 20 tahun atau
paling berat seumur hidup. Ditambah Pasal 365 ayat (3) KUHP Pencurian dengan
kekerasan yang mengakibatkan kematian, yakni pidana penjara paling lama 15
tahun,"" tandas Kusumo.

  
  
  
[Gambas:Video 20detik]  

__ 0 komentar

BAGIKAN  __ __ __ __ __ URL telah disalin

Berita Terkait

###  CCTV Kasus Brigadir J Ditemukan di Dekat Rumah Ferdy Sambo

###  Pengakuan Pengamen yang Viral Gebrak Mobil di Malang: Saya Mabuk

###  Profil Kapolres Jaksel yang Dinonaktifkan Terkait Brigadir Yoshua

###  Pengamen yang Viral Gebrak Mobil di Malang Tertangkap

###  Konser Langit Ustaz Hanan Attaki Ditolak di Jember

###  Penjelasan Empty Sella Syndrome, Penyakit yang Diidap Ruben Onsu

###  Eri Abaikan Survei Pilgub Jatim Versi ARCI, Pilih Fokus ke Warga Surabaya

###  Ganggu Habitat Sungai, Arapaima yang Pernah Geger di Jatim Dimusnahkan

Berita detikcom Lainnya

![Inovatif! Kemasan Minuman Ini Bisa Sekaligus Jadi Tempat
Camilan](https://akcdn.detik.net.id/community/media/visual/2022/07/21/kemasan-
minuman-praktis_169.jpeg?w=200&q=90)

detikFood

Inovatif! Kemasan Minuman Ini Bisa Sekaligus Jadi Tempat Camilan

![Bikin Tercengang, Jam Tangan Amanda Manopo Ini Ternyata Seharga
Rumah](https://akcdn.detik.net.id/community/media/visual/2022/04/29/10-keseruan-
amanda-manopo-saat-kulineran-ada-momen-gendong-kerupuk-9_169.png?w=200&q=90)

Wolipop

Bikin Tercengang, Jam Tangan Amanda Manopo Ini Ternyata Seharga Rumah

![Head to Head Charles Oliveira Vs Islam
Makhachev](https://akcdn.detik.net.id/community/media/visual/2022/07/17/charles-
oliveira-vs-islam-makhachev_169.jpeg?w=200&q=90)

detikSport

Head to Head Charles Oliveira Vs Islam Makhachev

![Ngeri! Awan di Planet Lain Bukan Uap Air, Tapi
Pasir](https://akcdn.detik.net.id/community/media/visual/2021/12/03/planet-
baru-gj-367b-eksoplanet-yang-ditutupi-lava-panas_169.jpeg?w=200&q=90)

detikInet

Ngeri! Awan di Planet Lain Bukan Uap Air, Tapi Pasir

![Penyebab Empty Sella Syndrome, Penyakit yang Diidap Ruben
Onsu](https://akcdn.detik.net.id/community/media/visual/2019/11/04/e229701f-7731-4a71-94e3-e73f4e1968e8_169.jpeg?w=200&q=90)

detikHealth

Penyebab Empty Sella Syndrome, Penyakit yang Diidap Ruben Onsu

![Kronologi Pilot Citilink Meninggal Setelah Mendarat Darurat di Bandara
Juanda](https://akcdn.detik.net.id/community/media/visual/2020/11/12/ilustrasi-
citilink-4_169.jpeg?w=200&q=90)

detikNews

Kronologi Pilot Citilink Meninggal Setelah Mendarat Darurat di Bandara Juanda

![Mantap! Youtuber Bisa Ngajuin Utang ke Bank, Jaminannya
Konten](https://akcdn.detik.net.id/community/media/visual/2018/10/17/bf8ee750-e7e9-4c58-8e02-214c2dac5a3e_169.jpeg?w=200&q=90)

detikFinance

Mantap! Youtuber Bisa Ngajuin Utang ke Bank, Jaminannya Konten

![Jokowi Buka Suara soal Tarif Masuk TN Komodo Rp 3,75
Juta](https://akcdn.detik.net.id/community/media/visual/2022/07/21/presiden-
jokowi-di-bandara-komodo-labuan-bajo-ntt-lukas-biro-pers-sekretariat-
presiden_169.jpeg?w=200&q=90)

detikTravel

Jokowi Buka Suara soal Tarif Masuk TN Komodo Rp 3,75 Juta

![Logo detikcom](https://cdn.detik.net.id/detikcom/images/logo-detik.png)

part of ![img-
alt](https://cdn.detik.net.id/assets/images/logo_detiknetwork.png?v=202207211677)

Connect With Us

__ __ __ __ __

Copyright @ 2022 detikcom.  
All right reserved

Kategori

   News 
   Edukasi 
   Finance 
   Teknologi 
   Entertaiment 
   Sport 
   Sepakbola 
   Otomotif 
   Travel 
   Food 
   Health 
   Wolipop 
   DetikX 
   20Detik 
   Foto 

Layanan

   berbuatbaik.id 
   Pasang Mata 
   Adsmart 
   Forum 
   detikEvent 
   Trans Snow World 
   Trans Studio 

Informasi

   Redaksi 
   Pedoman Media Siber 
   Karir 
   Kotak Pos 
   Media Partner 
   Info Iklan 
   Privacy Policy 
   Disclaimer 

Jaringan Media

   CNN Indonesia 
   CNBC Indonesia 
   Haibunda 
   Insertlive 
   Beautynesia 
   Female Daily 
   CXO Media 

![](https://pubads.g.doubleclick.net/activity;dc_iu=/4905536/DFPAudiencePixel;ord=1;dc_seg=1010791389;gen=Male?)
![](https://pubads.g.doubleclick.net/activity;dc_iu=/4905536/DFPAudiencePixel;ord=1;dc_seg=1009875724;gen=Female?)
![](https://b.scorecardresearch.com/p?c1=2&c2=8443234&cv=2.0&cj=1)

 ","Jumat, 15 Jul 2022 16:53 WIB","['pelaku', 'polisi', 'korban', 'penangkapan', 'keterangan', 'kali', 'langsung', 'polres', 'raba', 'warga', 'pria', '1', 'pidana', 'kekerasan', 'hukum', 'polresta', 'gang', 'dijerat', 'ormas']",15/07/2022,['jokowi'],jawa timur,sidoarjo,-,1,4,1,0,0,Tinggi
